Geneid	Brain	Duodenum	Hatchling_Brain	Hatchling_Carapace	Hatchling_Kidney	Kidney	Liver	Lung	merged	Sciatic_Nerve	Skeletal_Muscle	Spinal_Cord	Testis
G14724	2	6	2	0	0	3	0	2	34	0	1	6	12
G14725	10	13	7	8	1	4	9	2	75	1	7	5	8
G14726	2	2	2	0	0	7	3	3	33	0	7	4	3
G14727	3	8	5	4	0	4	5	1	41	0	7	3	1
G14728	0	0	0	0	0	0	0	0	0	0	0	0	0
G14729	3	0	2	0	0	0	0	0	8	0	0	1	2
G14730	0	0	0	0	0	0	0	0	0	0	0	0	0
G14731	0	0	0	0	0	0	0	0	1	0	0	0	1
G14732	0	0	0	0	0	0	0	0	0	0	0	0	0
G14733	233	8	54	39	1	36	3	41	768	1	11	318	23
G14734	0	0	0	5	0	0	0	0	10	0	5	0	0
G14735	0	0	0	0	0	0	0	0	0	0	0	0	0
G14736	0	0	0	0	0	0	0	0	0	0	0	0	0
G14737	1	2	1	56	1	20	44	15	155	2	5	0	8
G14738	0	2	0	0	0	0	1	0	3	0	0	0	0
G14739	0	1	0	0	0	0	0	0	1	0	0	0	0
G14740	0	0	0	0	0	0	0	0	1	0	0	0	1
G14741	6	15	5	33	0	9	22	10	129	0	11	12	6
G14742	8	121	0	1	0	129	549	28	879	0	7	13	23
G14743	0	0	0	4	1	0	0	1	6	0	0	0	0
G14744	45	12	52	64	5	42	43	26	506	0	55	52	110
G14745	0	0	1	2	1	3	3	1	14	0	1	1	1
G14746	9	42	6	14	0	21	2	5	186	2	8	7	70
G14747	0	0	0	0	0	0	0	0	6	1	0	0	5
G14748	2	4	4	0	0	4	4	5	27	0	1	1	2
G14749	0	0	0	0	0	0	0	0	1	0	0	0	1
G14750	30	29	18	25	2	22	22	12	202	2	7	11	22
G14751	0	0	0	0	0	0	0	0	0	0	0	0	0
G14752	4	2	9	2	2	37	3	8	123	0	21	10	25
G14753	20	19	28	21	5	13	9	17	154	0	2	12	8
G14754	15	43	48	62	18	54	38	56	451	2	21	28	66
G14755	5	54	3	24	6	71	100	18	618	2	285	25	25
G14756	1	0	4	0	0	4	1	1	22	0	7	0	4
G14757	17	19	12	14	1	25	21	14	213	3	29	28	30
G14758	79	5	71	29	3	54	22	61	400	0	27	41	8
G14759	0	0	0	0	0	1	0	0	1	0	0	0	0
G14760	0	0	0	0	0	0	0	0	0	0	0	0	0
G14761	0	0	0	0	0	0	0	0	1	0	0	0	1
G14762	0	0	0	0	0	0	0	0	0	0	0	0	0
G14763	3	0	8	1	0	1	0	1	18	0	0	0	4
G14764	0	0	0	0	0	0	0	0	0	0	0	0	0
G14765	9	8	4	6	0	14	16	9	99	0	18	11	4
G14766	1	0	0	0	0	1	0	0	4	0	0	1	1
G14767	21	48	24	39	2	106	235	16	573	0	12	31	39
G14768	0	0	2	4	0	0	0	0	6	0	0	0	0
G14769	66	18	37	62	4	64	79	39	537	0	14	52	102
G14770	8	0	9	0	0	0	0	0	24	0	0	5	2
G14771	0	0	0	0	0	0	0	0	0	0	0	0	0
G14772	0	0	0	0	0	0	0	0	0	0	0	0	0
G14773	0	0	0	0	0	0	0	0	0	0	0	0	0
G14774	0	0	0	0	0	0	0	0	1	0	1	0	0
G14775	0	0	0	0	0	1	0	0	1	0	0	0	0
G14776	0	2	1	0	0	11	18	6	55	0	2	7	8
G14777	0	0	0	0	0	1	0	0	2	0	0	0	1
G14778	0	0	0	1	0	1	0	0	3	0	0	0	1
G14779	0	0	0	0	0	0	0	0	7	0	0	0	7
G14780	0	0	0	0	1	9	0	0	12	0	0	0	2
G14781	5	6	18	2	3	2	5	4	56	0	2	3	6
G14782	0	0	0	0	0	0	0	0	0	0	0	0	0
G14783	0	0	0	1	0	0	0	0	2	0	1	0	0
G14784	0	0	0	1	0	0	0	0	1	0	0	0	0
G14785	2	7	3	6	1	5	5	1	44	0	8	2	4
G14786	0	0	2	0	0	0	0	0	3	0	0	1	0
G14787	2	0	0	0	0	1	1	1	6	0	0	0	1
G14788	0	0	0	0	0	0	0	0	0	0	0	0	0
G14789	13	2	6	9	3	10	8	2	108	1	15	12	27
G14790	18	18	14	21	5	7	7	7	155	0	29	14	15
G14791	43	16	4	4	1	39	12	22	243	1	45	31	25
G14792	1	0	27	10	0	1	0	1	43	0	0	2	1
G14793	11	17	3	13	1	24	18	9	182	1	60	15	10
G14794	11	5	78	52	9	13	6	8	204	0	4	13	5
G14795	7	6	7	3	0	16	9	4	71	0	6	10	3
G14796	0	0	0	0	0	17	53	0	70	0	0	0	0
G14797	13	4	2	3	0	11	6	11	81	0	4	8	19
G14798	8	0	3	1	0	0	0	0	17	0	0	5	0
G14799	2	0	0	0	0	1	0	0	14	0	0	1	10
G14800	0	0	0	0	0	0	0	1	3	0	0	1	1
G14801	44	34	40	45	7	70	13	56	402	2	19	57	15
G14802	0	29	0	0	1	1	8	1	43	0	0	1	2
G14803	23	19	6	5	0	22	3	6	215	0	97	17	17
G14804	6	5	7	5	3	0	4	4	48	0	6	3	5
G14805	0	1	0	4	0	0	0	0	5	0	0	0	0
G14806	4	4	2	4	0	5	10	4	45	0	0	4	8
G14807	0	0	0	0	0	0	0	0	0	0	0	0	0
G14808	0	0	0	0	0	0	0	0	0	0	0	0	0
G14809	1	0	0	0	0	0	0	0	1	0	0	0	0
G14810	0	0	0	0	0	0	0	0	2	0	0	1	1
G14811	757	0	819	3	0	19	1	3	1963	0	0	361	0
G14812	0	0	0	0	0	0	0	0	1	0	0	0	1
G14813	9	19	7	11	0	8	5	11	89	1	7	3	8
G14814	0	0	0	0	0	0	0	0	0	0	0	0	0
G14815	0	0	0	0	0	0	0	0	0	0	0	0	0
G14816	1	1	1	9	2	8	1	2	34	0	1	4	4
G14817	37	10	22	18	0	5	6	19	144	0	1	19	7
G14818	10	4	16	3	3	35	0	5	99	0	5	6	12
G14819	6	2	14	55	2	3	2	6	126	0	1	6	29
G14820	9	0	9	12	0	7	6	3	64	0	6	4	8
G14821	0	0	0	0	0	0	0	0	2	0	0	0	2
G14822	1	0	1	1	0	1	0	0	4	0	0	0	0
G14823	0	0	1	0	0	0	0	0	2	0	0	1	0
G14824	45	4	39	24	4	36	19	11	293	0	16	50	45
G14825	0	0	0	1	0	0	0	0	1	0	0	0	0
G14826	4	1	0	1	0	1	0	0	11	0	0	1	3
G14827	44	28	36	40	12	49	15	67	402	2	11	38	60
G14828	0	0	0	0	0	0	2	0	2	0	0	0	0
G14829	7	9	18	14	2	14	5	9	105	2	2	13	10
G14830	2	0	5	0	0	0	1	4	13	0	0	1	0
G14831	0	0	0	0	0	0	0	0	0	0	0	0	0
G14832	1	0	1	0	0	0	0	0	7	0	0	1	4
G14833	9	1	13	0	0	3	0	2	37	0	0	0	9
G14834	0	0	0	0	0	0	0	0	1	0	0	1	0
G14835	13	0	36	0	0	5	0	2	70	0	1	13	0
G14836	9	0	3	0	0	1	0	0	23	0	0	9	1
G14837	1	0	3	0	0	0	0	0	6	0	0	1	1
G14838	1	0	2	3	0	0	4	2	30	0	5	4	9
G14839	3	1	10	8	1	0	3	5	37	0	2	4	0
G14840	6	3	4	5	0	4	4	3	43	0	1	8	5
G14841	22	13	9	15	3	20	11	9	169	2	19	18	28
G14842	8	4	8	6	1	2	11	9	83	0	8	13	13
G14843	18	22	15	14	3	7	8	8	162	1	33	11	22
G14844	0	1	1	2	0	0	0	1	5	0	0	0	0
G14845	0	0	1	1	0	0	0	1	3	0	0	0	0
G14846	27	16	26	19	1	28	11	15	239	1	40	38	17
G14847	2	1	0	2	0	6	1	6	31	0	3	6	4
G14848	10	1	20	3	0	2	0	2	48	0	0	8	2
G14849	0	0	0	0	0	0	0	0	1	0	0	1	0
G14850	0	0	0	0	1	6	1	0	16	0	0	3	5
G14851	0	0	0	0	0	0	0	0	0	0	0	0	0
G14852	0	0	0	0	0	0	0	0	0	0	0	0	0
G14853	0	0	0	0	0	0	0	0	0	0	0	0	0
G14854	0	0	0	0	0	1	0	1	4	0	0	0	2
G14855	0	0	0	0	0	0	0	0	0	0	0	0	0
G14856	0	0	0	0	0	0	1	0	1	0	0	0	0
G14857	0	0	2	29	1	1	12	3	52	1	0	1	2
G14858	41	3	58	20	1	16	1	8	230	0	30	42	10
G14859	2	0	2	0	0	0	0	0	6	0	1	1	0
G14860	1	0	1	0	0	0	0	0	3	0	0	1	0
G14861	0	0	0	0	0	0	0	0	1	0	0	0	1
G14862	0	0	0	0	0	0	0	0	0	0	0	0	0
G14863	0	0	0	0	0	0	0	0	0	0	0	0	0
G14864	0	0	0	0	0	0	0	0	1	0	0	0	1
G14865	0	3	27	57	6	4	6	15	131	0	4	4	5
G14866	0	0	0	0	0	0	0	0	1	0	1	0	0
G14867	0	0	0	0	0	0	0	0	0	0	0	0	0
G14868	59	37	13	9	0	120	63	19	585	1	137	90	37
G14869	0	0	0	0	0	0	0	0	0	0	0	0	0
G14870	2	0	1	0	0	5	0	7	20	0	0	4	1
G14871	0	0	0	0	0	0	0	0	1	0	0	0	1
G14872	10	32	4	17	4	16	10	12	129	0	6	6	12
G14873	36	11	22	27	3	10	10	23	222	0	11	27	42
G14874	0	0	0	1	0	0	1	0	4	0	0	2	0
G14875	79	60	69	60	10	74	48	40	630	1	98	48	43
G14876	0	0	0	0	0	1	0	0	1	0	0	0	0
G14877	0	0	0	0	0	0	0	0	1	0	0	0	1
G14878	0	0	0	0	0	0	0	0	0	0	0	0	0
G14879	30	10	15	9	1	23	4	23	160	1	6	23	15
G14880	0	0	0	0	0	0	0	0	3	0	0	0	3
G14881	36	34	19	27	7	26	33	18	452	4	144	37	67
G14882	0	3	0	7	0	1	0	0	12	0	1	0	0
G14883	1	0	1	0	0	0	0	0	2	0	0	0	0
G14884	0	0	0	0	0	0	0	0	0	0	0	0	0
G14885	0	0	0	0	0	0	0	0	1	0	0	0	1
G14886	0	0	0	0	0	0	0	0	0	0	0	0	0
G14887	0	0	0	0	0	0	0	0	0	0	0	0	0
